molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
NA_ACAN_00003.mol,NAF,0,0,0,0,1,4,0,-1,206.244,2.013,428.593,145.981,125.215,157.397,0,709.351,2.5,5.7,0.0057114,0.0210281,0.8974855,21.169,7.452,13.335,13.249,0.022,-0.825,-1.19,-2.567,374.772,-0.714,307.145,-2.889,8.169,-0.247,4,-0.889,2,73.141,0,29.487,74.464,4,0,11,0,11,3,15,0,39.842
NA_ACAN_00003.mol,NAF,0,0,0,0,1,4,0,-1,206.244,2.956,430.109,143.45,128.406,158.253,0,711.46,2.5,5.7,0.0122819,0.020954,0.8960944,21.262,7.491,13.472,13.353,0.012,-0.814,-1.19,-2.594,343.232,-0.744,284.866,-2.945,8.24,-0.188,4,-0.886,2,72.395,0,30.482,75.846,4,0,11,0,11,3,15,0,35.99
NA_ACAN_00005.mol,NAF,0,0,0,0,0,8,3,-2,346.333,3.737,512.865,290.517,151.32,71.029,0,951.444,4,15.6,0.0146775,0.0608347,0.9121871,27.464,9.804,23.147,21.925,-1.56,-0.94,-0.645,-3.292,363.86,-1.131,165.872,-3.29,9.534,-0.885,5,-1.233,2,63.648,0,0,129.029,9,0,16,3,13,11,24,0,20.389
NA_ACAN_00005.mol,NAF,0,0,0,0,0,8,3,-2,346.333,3.308,514.036,288.816,155.983,69.236,0,958.908,4,15.6,0.0114095,0.0606961,0.9148632,27.746,9.908,23.231,21.947,-1.552,-0.948,-0.645,-3.24,328.633,-1.161,148.584,-3.382,9.607,-0.813,5,-1.217,2,62.904,0,0,128.96,9,0,16,3,13,11,24,0,16.173
NA_ACAN_00006.mol,NAF,8,0,0,0,0,20,3,-2,652.648,4.498,885.274,480.306,248.187,156.781,0,1797.523,7,20.3,0.0112565,0.0606691,0.8076135,54.438,19.134,39.638,30.44,0.194,-2.361,-4.885,-5.393,43.888,-3.179,16.861,-3.621,8.905,0.787,10,-1.105,1,18.6,0,0,221.988,15,3,24,0,24,10,46,1,0.68
NA_ACAN_00006.mol,NAF,10,0,0,0,0,20,3,-2,652.648,8.078,1005.434,472.354,316.784,216.296,0,1889.569,7,20.3,0.0345351,0.0534185,0.7351679,58.69,21.636,41.486,31.601,0.068,-3.914,-4.885,-6.849,9.814,-4.549,3.34,-4.676,8.767,0.986,10,-1.153,1,6.218,0,0,226.913,15,3,24,0,24,10,46,2,0.002
NA_ACAN_00009.mol,NAF,0,0,0,0,0,5,0,-2,322.357,5.015,554.195,339.581,147.329,67.285,0,989.54,3,7.65,0.0254127,0.0239089,0.8665446,30.879,9.656,18.696,13.339,1.245,-3.085,-3.146,-4.012,396.992,-1.046,182.255,-3.518,9.223,0.62,6,-0.285,3,80.751,0,0,101.827,6,0,14,0,14,7,23,0,0.081
NA_ACAN_00022.mol,NAF,1,0,0,0,0,7,0,-2,566.52,4.76,841.152,347.304,291.01,202.838,0,1564.315,2,10.5,0.0144818,0.0176535,0.7747708,53.892,16.845,27.37,16.83,2.794,-6.481,-8.143,-6.144,17.229,-3.09,6.137,-5.496,9.063,1.172,8,0.449,1,52.472,0,0,196.251,10,1,28,0,28,0,42,3,0
NA_ACAN_00022.mol,NAF,1,0,0,0,0,7,0,-2,566.52,4.444,839.688,347.887,289.139,202.663,0,1561.754,2,10.5,0.0126483,0.0176842,0.7752747,53.788,16.803,27.301,16.813,2.791,-6.456,-8.143,-6.135,17.947,-3.066,6.414,-5.462,9.039,1.143,8,0.443,1,52.775,0,0,195.505,10,1,28,0,28,0,42,3,0
NA_ACAN_00023.mol,NAF,0,0,0,0,0,7,0,-2,566.52,3.894,823.22,352.39,258.372,212.458,0,1538.798,2,10.5,0.0098528,0.018038,0.7830155,52.963,16.393,26.869,16.63,2.882,-6.18,-8.143,-6.056,35.136,-2.668,13.258,-4.861,9.107,1.237,8,0.392,2,58.526,0,0,195.464,10,1,28,0,28,0,42,2,0
NA_ACAN_00023.mol,NAF,0,0,0,0,0,7,0,-2,566.52,4.355,824.321,351.734,259.75,212.837,0,1541.524,2,10.5,0.012304,0.0180139,0.7828925,53.076,16.43,26.95,16.645,2.889,-6.198,-8.143,-6.06,34.095,-2.684,12.834,-4.885,9.323,1.29,8,0.399,2,58.337,0,0,196.211,10,1,28,0,28,0,42,2,0
NA_AIZO_00002.mol,NAF,2,0,0,0,0,1,0,0,196.246,5.788,390.068,251.639,117.062,21.367,0,674.722,1,4.7,0.0496483,0.0120492,0.9537655,20.41,6.246,10.907,7.473,0.858,-1.788,-1.658,-2.382,768.774,-0.355,372.316,-3.506,10.733,0.518,1,-0.385,3,83.617,0,0,63.448,3,0,9,0,9,5,14,0,0.998
NA_AIZO_00003.mol,NAF,0,0,0,2,0,6,2,-2,174.153,1.658,368.878,138.649,225.381,4.849,0,585.127,3,5.7,0.0047002,0.0267641,0.9171668,13.456,6.075,11.56,10.857,0.101,-0.717,-0.9,0.72,4.632,-1.584,2.4,-5.08,10.316,0.19,3,-1.178,2,39.455,0,0,115.684,5,0,0,0,0,0,12,1,0.278
NA_AIZO_00004.mol,NAF,1,0,0,0,0,2,0,0,160.172,4.192,368.961,52.841,100.334,215.786,0,578.806,0,2.7,0.0303548,0,0.9103454,17.786,5.864,7.287,4.976,1.313,-1.47,-1.761,-4.012,1107.728,-0.364,552.557,-2.416,9.447,1.211,1,-0.509,3,89.126,0,0,52.054,2,0,9,0,9,0,12,0,20.816
