molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
SA_ANAC_00001.mol,SAF,4,0,0,1,0,18,0,-2,390.562,3.554,854.725,569.565,188.429,96.731,0,1486.61,2,2.5,0.0084968,0.0041365,0.7370043,42.706,14.96,17.768,5.137,6.685,-7.785,-6.377,-4.441,40.986,-2.834,19.916,-2.923,9.244,0.066,5,1.149,1,81.991,0,0,89.593,4,1,6,0,6,0,28,1,0
SA_ANAC_00012.mol,SAF,6,0,0,0,0,15,1,-2,512.515,6.402,870.901,67.669,340.538,462.694,0,1554.477,4,6.5,0.0263625,0.0149271,0.7451647,50.843,19.642,27.445,16.231,3.919,-6.761,-8.179,-7.862,5.842,-4.429,1.907,-4.726,8.813,0.676,8,0.663,1,37.692,0,0,177.91,8,2,24,0,24,0,38,3,0
SA_ANAC_00012.mol,SAF,4,0,0,0,0,15,1,-2,512.515,5.307,857.153,82.169,324.582,450.403,0,1540.198,4,6.5,0.0182869,0.0151665,0.7524732,50.155,19.24,27.031,16.006,3.932,-6.524,-8.179,-7.685,8.277,-4.162,2.779,-4.475,8.569,0.512,8,0.632,1,40.48,0,0,176.541,8,2,24,0,24,0,38,3,0
SA_ANAC_00012.mol,SAF,6,0,0,0,0,15,1,-2,512.515,5.783,877.851,71.95,352.417,453.484,0,1554.871,4,6.5,0.0215078,0.0148089,0.7393907,50.771,19.721,27.363,16.266,3.823,-6.881,-8.179,-7.912,4.507,-4.638,1.441,-4.977,8.652,0.565,8,0.659,1,35.116,0,0,178.059,8,2,24,0,24,0,38,3,0
SA_ANAC_00012.mol,SAF,6,0,0,0,0,15,1,-2,512.515,4.536,871.082,66.743,341.331,463.008,0,1555.956,4,6.5,0.0132244,0.014924,0.7454828,50.906,19.661,27.293,16.239,3.923,-6.764,-8.179,-7.858,5.742,-4.435,1.871,-4.739,9.012,0.716,8,0.667,1,37.583,0,0,178.676,8,2,24,0,24,0,38,3,0
SA_ASPA_00001.mol,SAF,0,0,0,0,0,3,1,-2,400.514,8.096,617.773,344.978,162.349,110.446,0,1190.788,3,6.65,0.0550374,0.0186446,0.8794798,40.63,11.941,22.307,13.344,2.758,-4.613,-4.988,-4.009,285.988,-1.017,127.857,-3.834,9.482,0.506,5,0.423,3,87.06,0,0,95.048,5,0,23,0,23,15,29,0,0.001
SA_ASPA_00002.mol,SAF,0,0,0,0,0,4,1,0,428.567,8.829,667.036,466.867,110.568,89.602,0,1295.774,2,6.65,0.0601522,0.014099,0.861724,43.99,12.097,21.757,11.283,3.875,-5.331,-5.623,-4.197,885.904,-0.67,433.991,-2.858,9.379,0.461,5,0.673,3,100,0,0,80.581,5,0,23,0,23,15,31,0,0.003
SA_ASPA_00003.mol,SAF,2,0,0,0,0,9,2,-2,562.656,11.006,800.822,421.458,278.277,101.087,0,1581.788,6,15.15,0.076582,0.0463396,0.8198383,52.336,16.826,35.945,25.952,0.685,-4.218,-4.819,-4.929,22.751,-2.739,8.288,-5.428,9.351,0.435,9,-0.324,2,29.329,0,0,174.05,10,2,29,0,29,20,40,2,0
SA_ASPA_00004.mol,SAF,8,0,0,0,0,8,7,-2,728.789,7.858,1042.87,711.523,228.363,102.984,0,2072.652,1,16.65,0.029793,0.0159656,0.7538518,72.64,20.176,35.599,20.583,3.657,-7.154,-7.689,-6.006,67.66,-2.598,26.92,-4.597,9.532,0.606,6,0.349,1,55.2,0,0,231.868,14,2,29,0,29,19,52,1,0
SA_ASPA_00005.mol,SAF,4,0,0,0,0,11,2,-2,578.655,4.906,788.026,384.278,308.486,95.261,0,1573.523,7,16.85,0.0152954,0.0565729,0.8302458,50.665,17.109,37.011,28.785,-0.258,-3.381,-4.437,-4.733,11.763,-3.083,4.063,-5.813,9.376,0.459,10,-0.628,1,5.717,0,0,190.994,11,3,29,0,29,20,41,2,0
