molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
CA_ACHA_00002.mol,CAF,0,0,0,0,0,0,2,0,454.648,6.753,646.007,533.699,112.308,0,0,1317.419,0,7,0.0346143,0,0.8996569,46.569,11.25,19.739,8.933,3.704,-4.794,-5.624,-3.156,852.871,-0.362,416.527,-3.589,10.364,-0.554,4,0.57,3,100,0,0,80.915,4,0,24,0,24,20,33,0,0.002
CA_ACHA_00003.mol,CAF,0,0,0,0,0,1,2,-1,470.648,6.291,650.462,502.413,148.048,0,0,1339.944,1,8.7,0.0295333,0.0133751,0.9036515,46.828,11.923,22.302,12.105,3.069,-4.761,-5.423,-3.091,390.803,-0.706,179.186,-4.152,10.296,-0.543,4,0.534,3,91.305,0,0,100.533,5,0,24,0,24,20,34,0,0.001
CA_ACHA_00004.mol,CAF,0,0,0,2,0,2,1,-2,486.69,4.161,694.624,524.378,170.246,0,0,1414.737,2,6,0.0122403,0.0122156,0.8774023,49.18,12.901,22.904,10.947,5.398,-6.331,-6.599,0.099,15.44,-1.031,8.818,-4.465,10.413,-0.731,2,0.873,1,66.868,0,0,105.663,5,1,22,0,22,21,35,2,0
CA_ACHA_00004.mol,CAF,0,0,0,2,0,2,1,-2,486.69,4.151,692.97,521.283,171.687,0,0,1415.015,2,6,0.0121783,0.0122448,0.8796122,49.191,12.914,22.923,10.953,5.391,-6.303,-6.599,0.135,14.962,-1.036,8.523,-4.492,10.406,-0.738,2,0.875,1,66.583,0,0,106.086,5,1,22,0,22,21,35,2,0
CA_ACHA_00004.mol,CAF,0,0,0,2,0,2,1,-2,486.69,3.13,689.729,519.367,170.362,0,0,1412.825,2,6,0.0069338,0.0123023,0.882834,49.103,12.887,22.825,10.936,5.389,-6.247,-6.599,0.187,15.401,-1.014,8.794,-4.467,10.385,-0.759,2,0.871,1,66.793,0,0,106.128,5,1,22,0,22,21,35,2,0
CA_ACHA_00008.mol,CAF,5,0,0,0,1,26,0,-2,445.682,5.623,996.008,826.224,169.784,0,0,1750.276,5,9.3,0.0180678,0.0208788,0.7051904,47.197,17.779,26.855,15.926,3.811,-5.216,-3.698,-4.928,151.617,-3.28,107.278,-2.152,9.608,-1.22,5,-0.233,1,88.29,0,25.765,113.406,6,0,0,0,0,0,31,0,0.019
CA_ACHA_00009.mol,CAF,12,0,0,0,1,39,1,-2,716.05,8.034,1415.951,1171.605,232.142,12.204,0,2615.807,7,16.1,0.0246748,0.0300834,0.6484162,73.605,28.287,42.447,24.318,5.537,-7.562,-6.224,-5.905,37.756,-5.468,24.623,-2.01,9.68,-0.961,8,-0.062,1,48.716,0,27.325,173.063,10,3,6,0,6,5,50,2,0
CA_ACHA_00010.mol,CAF,0,0,0,0,0,2,0,0,456.664,5.333,660.022,535.753,95.43,28.839,0,1338.526,2,6.4,0.0212471,0.0137131,0.8899337,46.405,11.95,21.954,10.945,4.293,-5.616,-5.955,-3.451,1232.915,-0.36,620.352,-2.985,10.311,-0.464,3,0.932,3,100,0,0,68.117,4,0,24,0,24,21,33,0,0.001
CA_ACHA_00011.mol,CAF,0,0,0,0,0,1,1,0,454.648,8.054,662.829,529.846,103.884,29.099,0,1334.512,1,6.7,0.0486097,0.0101082,0.884392,46.889,11.744,21.26,10.062,4.202,-5.716,-5.919,-3.541,1025.1,-0.382,508.144,-3.236,10.33,-0.392,4,0.911,3,100,0,0,74.927,4,0,24,0,24,20,33,1,0.001
CA_ACHA_00012.mol,CAF,0,0,0,0,0,2,1,-1,470.648,7.044,672.98,498.679,145.279,29.022,0,1358.177,2,8.4,0.036535,0.0176519,0.8813203,47.193,12.459,23.745,13.286,3.277,-5.208,-5.522,-3.591,415.16,-0.804,191.287,-3.903,10.262,-0.434,4,0.625,3,92.993,0,0,94.601,5,0,24,0,24,20,34,0,0
CA_AGAV_00001.mol,CAF,3,0,0,0,0,10,3,-2,720.896,6.811,948.812,654.811,230.127,63.875,0,1995.465,6,18.5,0.0232469,0.0477603,0.807881,67.893,19.744,42.295,28.806,2.105,-5.247,-6.382,-4.945,65.104,-2.39,25.823,-4.576,9.773,-0.719,10,0,1,32.858,0,0,161.357,12,3,37,0,37,30,51,1,0
CA_AGAV_00001.mol,CAF,4,0,0,0,0,10,3,-2,720.896,6.013,930.039,672.152,194.059,63.829,0,1985.749,6,18.5,0.0182098,0.0487243,0.8215109,67.504,19.286,41.982,28.516,2.334,-4.988,-6.382,-4.725,143.1,-1.956,60.492,-3.911,9.554,-0.914,10,0.014,1,40.32,0,0,162.593,12,3,37,0,37,30,51,1,0.001
