Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,New Standard Value,Label
CHEMBL4303784,C=CC(C)CC1NC(=O)C(CC(C)C)N(C)C(=O)C(C)N(C)C(=O)C(C(C)CC)NC(=O)C(C(O)C(C)C)NC(=O)C2CCCCN2C(=O)C(C)N(C)C1=O,IC50,'=',6.653,nM,6.653,1
CHEMBL4867459,CO/C1=C/C(C)=C/[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@]2(OC)C[C@H](OC(=O)/C=C/C(=O)NC3=C(O)CCC3=O)[C@@H](C)[C@H](C(C)C)O2)OC1=O,IC50,'=',5.11,nM,6.715,1
CHEMBL19980,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1,IC50,'=',20.0,nM,9.43142857142857,1
CHEMBL250451,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,IC50,'=',11.0,nM,11.0,1
CHEMBL1236962,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,IC50,'=',14.0,nM,12.613333333333335,1
CHEMBL498672,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,IC50,'=',11.0,ug.mL-1,15.425,1
CHEMBL5174830,CN(C)CC#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,'=',19.5,nM,19.5,1
CHEMBL4650343,Cc1cc(Nc2cc3ncccc3c(N[C@@H]3C[C@H]4CC[C@@H](C3)N4CCC#N)n2)n[nH]1,IC50,'=',20.0,nM,20.0,1
CHEMBL4226570,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,IC50,'~',22.92,nM,22.92,1
CHEMBL5189479,CCC(O)(CC)c1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,'=',23.9,nM,23.9,1
CHEMBL463843,CCCCCc1cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1C(=O)O,IC50,'=',26.0,ug.mL-1,26.6,1
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,'=',192.75,nM,31.236666666666665,1
CHEMBL3989553,CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,'=',40.0,nM,32.485,1
CHEMBL1976486,C/C(=N\NC(=S)N1CCC1)c1ccccn1,IC50,'<',20.0,nM,32.61,1
CHEMBL2170062,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,IC50,'~',140.28,nM,33.59,1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,'=',50.0,nM,40.78142857142858,1
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,'=',130.0,nM,44.25333333333333,1
CHEMBL459546,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,IC50,'=',49.0,nM,49.0,1
CHEMBL2134545,Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)(C)C#N)cc1,IC50,'=',110.0,nM,50.516000000000005,1
CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,'=',60.0,nM,51.565714285714286,1
CHEMBL71191,COc1cc2ncc(-c3ccccc3)nc2cc1OC,IC50,'=',200.0,nM,51.7275,1
CHEMBL2171124,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,IC50,'=',250.0,nM,56.69,1
CHEMBL4476635,O=C(Nc1ccc([N+](=O)[O-])c(Cl)c1)c1cc(Cl)ccc1O,IC50,'=',57.0,nM,57.0,1
CHEMBL593726,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Br)ccc1O,IC50,'=',101.0,nM,64.0,1
CHEMBL5171753,Nc1ncc2c(n1)-c1c([nH]c3ccc(-c4ccc(F)cc4)cc13)CCC2,IC50,'=',73.3,nM,73.3,1
CHEMBL4303677,FC(F)(F)Oc1ccc2nc(-c3ccc(OCCOCCOc4ccc(-c5nc6ccc(OC(F)(F)F)cc6[nH]5)nc4)cn3)[nH]c2c1,IC50,'=',190.0,nM,74.16250000000001,1
CHEMBL1231723,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,IC50,'=',220.0,nM,76.435,1
CHEMBL2094620,C/C(=N/Nc1nnc2c(n1)[nH]c1c(C)cccc12)c1ccccn1,IC50,'=',240.0,nM,76.62,1
CHEMBL4871515,O=C(Nc1ccc(C(F)(F)F)c(F)c1)c1cc(Br)ccc1O,IC50,'=',140.0,%,82.0,1
CHEMBL1889436,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O.O.O.O.O.O.O.O.O,IC50,'<',97.0,nM,97.0,1
CHEMBL4877358,N=C(N/N=C/c1ccccc1O)c1nonc1NCNc1nonc1C(=N)N/N=C/c1ccccc1O,IC50,'=',110.0,nM,110.0,1
CHEMBL4073443,Cc1cc(Nc2cc(N)ncn2)c(=O)n2c1C(=O)NC21CCCCC1,IC50,'=',346.74,nM,115.57333333333334,1
CHEMBL286494,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,IC50,'=',250.0,nM,118.58714285714287,1
CHEMBL4466997,N#Cc1ccc(NC(=O)c2cc(Cl)ccc2O)c(Cl)c1,IC50,'=',256.0,nM,141.5,1
CHEMBL4761264,O=c1[nH]c(Nc2cc(Cl)cc(Cl)c2)nc2cccc(O)c12,IC50,'=',150.0,nM,150.0,1
CHEMBL3746912,COc1cccc2c(NCc3ccccc3)nc(-n3c(N)nc4ccccc43)nc12,IC50,'~',476.43,nM,158.70333333333332,1
CHEMBL4303404,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,IC50,'~',645.65,nM,170.2075,1
CHEMBL2135651,CC[C@@H](C(=O)O)C1CC[C@H](C)C([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)C2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)(C5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)O1,IC50,'=',380.0,nM,171.006,1
CHEMBL2105698,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl,IC50,'=',590.0,nM,171.3275,1
CHEMBL3264002,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,IC50,'=',600.0,nM,175.4775,1
CHEMBL2364622,Cl.NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,IC50,'=',630.0,nM,176.23,1
CHEMBL2088014,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(Cl)ccc1O,IC50,'=',380.0,nM,176.33333333333334,1
CHEMBL2003538,CCCCCCCCCCCCCCCC[n+]1ccccc1.O.[Cl-],IC50,'=',620.0,nM,180.035,1
CHEMBL85164,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O,IC50,'=',640.0,nM,181.64,1
CHEMBL1316965,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,IC50,'=',640.0,nM,184.815,1
CHEMBL374632,CCN(CC)c1ccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc2c1,IC50,'=',360.0,nM,188.155,1
CHEMBL274619,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,IC50,'=',350.0,nM,196.09,1
CHEMBL4303785,CC(C)CC1NC(=O)C(Cc2cn(Cc3ccc(Br)cc3)c3ccccc23)N(C)C(=O)C(CC(C)C)NC(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)NC(=O)C(CCC#N)OC(=O)C(C)N(C)C1=O,IC50,'=',199.53,nM,199.53,1
CHEMBL4743044,O=c1[nH]c(Nc2cc(F)cc(F)c2)nc2cc(C(F)(F)F)ccc12,IC50,'=',200.0,nM,200.0,1
CHEMBL4128763,C[C@@H](C1CCCCC1)n1c(-c2cc3c(cc2Br)OCO3)nc2cc(C(=O)Nc3ccc(C#N)cc3)ccc21,IC50,'~',602.56,nM,201.22666666666666,1
CHEMBL3913746,CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccnc(Cl)c3)n2)c(CC2CC2)n1,IC50,'=',400.0,nM,206.775,1
CHEMBL4743584,O=c1[nH]c(Nc2cc(Cl)cc(Cl)c2)nc2cc(C(F)(F)F)ccc12,IC50,'=',210.0,nM,210.0,1
CHEMBL559569,Cc1cccc2c1CC[C@H](CN1CCC(c3c(Cl)cccc3Cl)CC1)C[C@@H]2O,IC50,'=',770.0,nM,210.73499999999999,1
CHEMBL464249,COc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)ccc1O,IC50,'=',380.0,nM,212.0,1
CHEMBL5219178,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@]4(O)OC[C@@]35[C@@H](C[C@@H]12)OC(=O)C[C@H]5[C@](C)(O)[C@H]4O,IC50,'=',430.0,nM,215.08,1
CHEMBL4303661,CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC,IC50,'=',770.0,nM,225.1325,1
CHEMBL4741240,O=c1[nH]c(Nc2cc(Cl)cc(Cl)c2)nc2cc(Cl)ccc12,IC50,'=',230.0,nM,230.0,1
CHEMBL4799890,O=c1[nH]c(Nc2cc(Cl)cc(Cl)c2)nc2c(Cl)c(Cl)ccc12,IC50,'=',240.0,nM,240.0,1
CHEMBL4754320,O=c1[nH]c(Nc2cc(F)cc(F)c2)nc2cc(Cl)ccc12,IC50,'=',240.0,nM,240.0,1
CHEMBL2364627,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21.CS(=O)(=O)O.CS(=O)(=O)O,IC50,'=',870.0,nM,240.9125,1
CHEMBL4752849,O=c1[nH]c(Nc2cc(F)cc(F)c2)nc2c(Cl)c(Cl)ccc12,IC50,'=',250.0,nM,250.0,1
CHEMBL5219862,CC1=CC(=O)[C@@H](O)[C@]2(C)C3[C@@H](O)[C@@H]4OC(=O)[C@@H]([C@H]4C)[C@]3(C)C(=O)C[C@@H]12,IC50,'=',0.18,ug.mL-1,255.09,1
CHEMBL1057,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,IC50,'>',309.0,nM,279.73,1
CHEMBL64925,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,IC50,'=',990.0,nM,296.15333333333336,1
CHEMBL98123,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.Cl,IC50,'=',1100.0,nM,296.91,1
CHEMBL245839,COC(=O)c1ccccc1-c1c2ccc(N)cc2[o+]c2cc(N)ccc12.[Cl-],IC50,'=',800.0,nM,317.986,1
CHEMBL4760783,O=c1[nH]c(Nc2cc(F)cc(F)c2)nc2c(Cl)ccc(Cl)c12,IC50,'=',330.0,nM,330.0,1
CHEMBL5183847,Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,IC50,'=',370.0,nM,336.98,1
CHEMBL4785508,O=c1[nH]c(Nc2cc(Cl)cc(Cl)c2)nc2c(Cl)ccc(Cl)c12,IC50,'=',350.0,nM,350.0,1
CHEMBL1518572,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,IC50,'=',1340.0,nM,353.8025,1
CHEMBL123292,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,IC50,'=',1160.0,nM,363.32142857142856,1
